name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink 
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 625 b,21,2.82 Earths,10.066,2017,https://exoplanets.nasa.gov//exoplanet-catalog/7184/gj-625-b/
GJ 625 b,21,2.82 Earths,10.066,2017,https://exoplanets.nasa.gov//exoplanet-catalog/7184/gj-625-b/
GJ 649 b,34,0.328 Jupiters,9.7,2009,https://exoplanets.nasa.gov//exoplanet-catalog/6539/gj-649-b/
GJ 649 b,34,0.328 Jupiters,9.7,2009,https://exoplanets.nasa.gov//exoplanet-catalog/6539/gj-649-b/
GJ 667 C b,24,5.6 Earths,10.602,2011,https://exoplanets.nasa.gov//exoplanet-catalog/6540/gj-667-c-b/
GJ 667 C b,24,5.6 Earths,10.602,2011,https://exoplanets.nasa.gov//exoplanet-catalog/6540/gj-667-c-b/
GJ 667 C c,24,3.8 Earths,10.602,2011,https://exoplanets.nasa.gov//exoplanet-catalog/6541/gj-667-c-c/
GJ 667 C c,24,3.8 Earths,10.602,2011,https://exoplanets.nasa.gov//exoplanet-catalog/6541/gj-667-c-c/
GJ 667 C e,24,2.7 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6542/gj-667-c-e/
GJ 667 C e,24,2.7 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6542/gj-667-c-e/
GJ 667 C f,24,2.7 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6543/gj-667-c-f/
GJ 667 C f,24,2.7 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6543/gj-667-c-f/
GJ 667 C g,24,4.6 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6544/gj-667-c-g/
GJ 667 C g,24,4.6 Earths,10.602,2013,https://exoplanets.nasa.gov//exoplanet-catalog/6544/gj-667-c-g/
GJ 674 b,15,11.09 Earths,9.38,2007,https://exoplanets.nasa.gov//exoplanet-catalog/6545/gj-674-b/
GJ 674 b,15,11.09 Earths,9.38,2007,https://exoplanets.nasa.gov//exoplanet-catalog/6545/gj-674-b/
GJ 676 A b,52,6.7 Jupiters,9.58,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6546/gj-676-a-b/
GJ 676 A b,52,6.7 Jupiters,9.58,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6546/gj-676-a-b/
GJ 676 A c,52,6.8 Jupiters,9.58,2016,https://exoplanets.nasa.gov//exoplanet-catalog/7169/gj-676-a-c/
GJ 676 A c,52,6.8 Jupiters,9.58,2016,https://exoplanets.nasa.gov//exoplanet-catalog/7169/gj-676-a-c/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A d,52,4.4 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6547/gj-676-a-d/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 676 A e,52,8.1 Earths,9.58,2012,https://exoplanets.nasa.gov//exoplanet-catalog/6548/gj-676-a-e/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 b,16,4.4 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7495/gj-682-b/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 682 c,16,8.7 Earths,10.94,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7496/gj-682-c/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 685 b,47,9 Earths,9.98,2019,https://exoplanets.nasa.gov//exoplanet-catalog/7299/gj-685-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 b,15,17.2 Earths,9.15,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6549/gj-687-b/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 687 c,15,16 Earths,9.15,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7674/gj-687-c/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 720 A b,51,13.64 Earths,9.84,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7903/gj-720-a-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 740 b,36,2.96 Earths,9.22,2021,https://exoplanets.nasa.gov//exoplanet-catalog/7843/gj-740-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 b,16,0.68 Jupiters,8.66,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6550/gj-832-b/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
GJ 876 d,15,6.83 Earths,10.16,2005,https://exoplanets.nasa.gov//exoplanet-catalog/6555/gj-876-d/
GJ 876 d,15,6.83 Earths,10.16,2005,https://exoplanets.nasa.gov//exoplanet-catalog/6555/gj-876-d/
GJ 876 e,15,14.6 Earths,10.16,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6556/gj-876-e/
GJ 876 e,15,14.6 Earths,10.16,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6556/gj-876-e/
GJ 887 b,11,4.2 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7641/gj-887-b/
GJ 887 b,11,4.2 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7641/gj-887-b/
GJ 887 c,11,7.6 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7642/gj-887-c/
GJ 887 c,11,7.6 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7642/gj-887-c/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
GJ 876 d,15,6.83 Earths,10.16,2005,https://exoplanets.nasa.gov//exoplanet-catalog/6555/gj-876-d/
GJ 876 d,15,6.83 Earths,10.16,2005,https://exoplanets.nasa.gov//exoplanet-catalog/6555/gj-876-d/
GJ 876 e,15,14.6 Earths,10.16,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6556/gj-876-e/
GJ 876 e,15,14.6 Earths,10.16,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6556/gj-876-e/
GJ 887 b,11,4.2 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7641/gj-887-b/
GJ 887 b,11,4.2 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7641/gj-887-b/
GJ 887 c,11,7.6 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7642/gj-887-c/
GJ 887 c,11,7.6 Earths,7.56,2020,https://exoplanets.nasa.gov//exoplanet-catalog/7642/gj-887-c/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 832 c,16,5.4 Earths,8.66,2014,https://exoplanets.nasa.gov//exoplanet-catalog/6551/gj-832-c/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 b,29,0.9 Jupiters,10.41,2006,https://exoplanets.nasa.gov//exoplanet-catalog/6552/gj-849-b/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 849 c,29,0.702 Jupiters,10.41,2014,https://exoplanets.nasa.gov//exoplanet-catalog/7897/gj-849-c/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 86 b,35,4.42 Jupiters,6.12,1999,https://exoplanets.nasa.gov//exoplanet-catalog/6570/gj-86-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 b,15,2.2756 Jupiters,10.16,1998,https://exoplanets.nasa.gov//exoplanet-catalog/6553/gj-876-b/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
GJ 876 c,15,0.7142 Jupiters,10.16,2000,https://exoplanets.nasa.gov//exoplanet-catalog/6554/gj-876-c/
